Signal,label
0.00392382733691344,0
0.00012385380755042897,0
0.0003695056689760866,0
-7.222983692240248e-05,0
0.004089601652164898,0
0.0012526632954161997,0
-0.0012227910387569742,0
0.0003377020381227587,0
0.0024075026270961586,0
-0.00020142988485823178,0
-0.0023922535219455363,0
-0.0014544447887837202,0
-0.0029682225346516727,0
0.004180075846518707,0
0.005128077111469292,0
0.0012206927352289398,0
0.0004311800430376257,0
-0.0008177454739214459,0
-0.004118874085311326,0
0.0010626660586649725,0
-0.004412631025175094,0
-0.001416880336919185,0
-0.0002515112351128577,0
0.00231927467130972,0
-0.0018284321669739543,0
-0.0011691832498099079,0
-0.0010084397851765946,0
-0.00044173553397381537,0
0.003024982992658172,0
0.0005638915526658987,0
-0.0013397717865174807,0
-0.0012324455719233207,0
0.002380987612166999,0
0.001111130891488326,0
-0.0011713909299865904,0
0.000830614728135653,0
-0.0010728791025630408,0
-0.0031312158831300245,0
0.0025131244160627006,0
0.0013259637429090434,0
-0.0010735694975461839,0
0.0007695219759417767,0
-0.0013480754463363416,0
0.0010740747059788526,0
-0.0013861584506330929,0
0.0029005633115377436,0
0.0018384339420073137,0
-0.0011720031393705475,0
0.0004904450390627581,0
0.002952653521712614,0
-0.000399124113899788,0
0.0019402521169679182,0
-0.0040771259363569625,0
0.002220145717279153,0
-0.0004224338532987785,0
-0.0020736393145832973,0
0.002426496459505674,0
-0.0037271108393206135,0
0.005355060573229326,0
0.0012896117845717335,0
0.001187827990068993,0
0.001685237985918584,0
-0.0033650333639896053,0
-0.0005212136860127245,0
81.48781748324843,0
-3.1127535122001686,1
-1.4514164409275765,1
-0.021521647914767343,1
-0.004434573034304173,1
-0.002282218645399249,1
0.0004259298237484672,1
-0.0052763366058151216,1
-0.0006532522704968245,1
0.0001663479794487637,1
0.0038945271750623757,1
7.074281722837665e-05,1
-0.0005352093566920887,1
0.002896796772592105,1
0.0025107626393217025,1
0.004101873547733905,1
0.004395945233671551,1
0.0017166581697920852,1
0.0005889541846570823,1
-0.0012079139676949705,1
-0.0017497304785643467,1
-0.001017796157097876,1
-0.001880605820540962,1
0.0011135974631425313,1
-0.0012369659927531195,1
-0.0017100607781112044,1
0.006187060611218496,1
0.0014591072938363472,1
-0.005107311630039914,1
-0.0005308595517661118,1
0.0006829226332319501,1
0.0005761510245875341,1
-0.0032488711029755248,1
0.002357255836947362,1
-0.0016229790512186425,1
0.0026672395499504824,1
0.0003211659953477139,1
-0.002879253115676092,1
-0.0005502067115611285,1
0.00024230010578080987,1
-0.00036753327445313434,1
-0.002239161211472801,1
0.002652284332767411,1
0.0010474866174901586,1
-0.0009003650066453614,1
-0.0014538210087684073,1
0.0027268602123157295,1
-0.0003076591211472672,1
0.0012637762992345365,1
0.005513885184896892,1
-0.0002313806570094798,1
0.00025308086855270603,1
0.0002952851294955922,1
0.004099478218671015,1
-0.002974680371218978,1
-0.0017667934778184753,1
0.0006459727750513354,1
-0.00023892550827773207,1
0.004683486035722999,1
0.0024434430166122337,1
-0.0015474729054587672,1
-0.00014102005738631911,1
0.0025305282489728933,1
0.0002812787438107566,1
0.002182945737137724,1
-0.0003063801991114344,1
-0.0018749356594499355,1
-0.0002467506792407421,1
0.0015991590101592102,1
0.005253895929856447,1
0.00012131823714788298,1
-0.0010057510699615984,1
0.0006318256625431291,1
-0.0008073653442353604,1
-0.0017110963740640482,1
-0.0014520317653120053,1
-0.0005818448390102325,1
-0.0013362474957079563,1
-0.003117584163500223,1
0.0002474655722370984,1
-0.0015966792257276438,1
0.0008449702065716593,1
-0.00220586952357189,1
0.0022041039479014095,1
-0.003851696869040467,1
-0.00028938297082993313,1
0.0006586504758133596,1
0.0026477764696647824,1
0.0007162051725117471,1
-0.00021710057919347773,1
0.00018276318840998766,1
0.00029410906374863156,1
0.001045683047016979,1
0.00447057698006179,1
0.0015264100826819715,1
0.00029447457800804776,1
-0.00032514886101395597,1
0.0032513751004808263,1
-0.001096488221673693,1
0.0028590857679025744,1
-0.0014060550679375926,1
0.00030484299975310956,1
-0.0032157317023508098,1
-0.005299189792433266,1
-0.00014388708737536442,1
-0.0029398785674046505,1
0.003752851862722688,1
-0.002236676787905694,1
0.0006992764325965198,1
-0.002856907418592327,1
-0.002903496323250587,1
0.002472329110293389,1
0.0004260543369024418,1
-0.0017817009248076148,1
0.00015412289516714776,1
-0.004231665886741437,1
0.004772798705319576,1
-0.002253665157515071,1
-0.004358228547049647,1
-0.0010452616987604215,1
0.0039308380453513736,1
-0.0015259038629718428,1
0.0008165156815486901,1
0.002169804993571722,1
-0.0017178782121193797,1
0.003660140999344349,1
0.0023204985187956226,1
-0.005616732758882415,1
0.0043580540922539684,1
0.0014710171903674922,1
-0.00431941546870154,1
-0.0017255751317042352,1
0.002496332114092019,1
-0.0023506231115008767,1
-0.001484846101785114,1
0.0012963814482023132,1
-0.0016873572555236034,1
-0.0023384783827482365,1
-0.0026789035989033517,1
-0.0009491630211887009,1
-0.0028660352489640237,1
0.0008193820512388849,1
0.001257226415348242,1
0.003430557636132131,1
-0.0012118174241503735,1
0.0003001698414950931,1
0.0007618994708470614,1
-8.049547625677332e-05,1
0.0017598612401989518,1
-0.0030381094152790392,1
0.0031841349036390663,1
-0.0003778963019111561,1
-0.00350911479596416,1
0.00013183696712567214,1
-0.0016553007519847693,1
-0.0018681479407424643,1
0.0011570123671044547,1
-0.0006316040381080029,1
-0.0011129026664915386,1
0.0003853874651698803,1
0.0038157117051918323,1
-0.0007852948166368901,1
-0.0037616188849031004,1
0.000410675797235407,1
0.001875761327449572,1
-0.00029575818164589556,1
-0.005281823019415153,1
0.009074238760578645,1
0.0016275937739259959,1
0.004850328235588037,1
0.0030524266308453265,1
0.0032272855725140556,1
0.002493297528923727,1
0.0030471324619558517,1
-0.00033866129981082344,1
-0.00301888331705982,1
-0.0019368135549937193,1
0.0008839676116724936,1
0.0014273329554493393,1
0.0021673117833846383,1
-0.0008604971013953835,1
0.0036205659957332034,1
-0.003153111210941429,1
-0.002544256457245275,1
-0.004320363775373374,1
-0.003946969039446063,1
0.001710869639877003,1
0.0007380332765919703,1
0.0005396049796760749,1
6.968880907493862e-05,1
0.00231231545332291,1
-0.000564433549011749,1
0.002143089720566825,1
0.00041140022532833235,1
0.0027397609555517553,1
0.0012123274347586564,1
0.0008453448423611458,1
0.00020209477765968274,1
-0.00011156737170995444,1
0.004203080165388095,1
